fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
368,Left,314.296292,2293,314.2990935,157.34650000001693,1.4731915689241897,0.7485066652297974,0.6963014006614685,0.7485066652297974,0.6963014006614685,True,9.0,Left|9,368.0,314.296292,Mid|5,Left|9 -> Mid|5,0.0,Left,Mid
368,Mid,314.296292,2293,314.2990935,157.34650000001693,1.4731915689241897,0.5465494493643442,0.37874498466650647,0.5476445555686951,0.3826600313186645,True,5.0,Mid|5,367.0,314.296292,Left|9,Mid|5 -> Left|9,0.0,Mid,Left
367,Left,314.296292,2293,314.077196,217.8630000000794,0.9537081055217006,0.7580065727233887,0.702929675579071,0.7580065727233887,0.702929675579071,True,9.0,Left|9,369.0,314.463844,Mid|5,Left|9 -> Mid|5,0.1675520000000006,Left,Mid
375,Mid,315.502667,2329,315.4933095,217.8639999999632,0.8750466301003518,0.3903976891721998,0.3668912649154663,0.3798869252204895,0.3563893437385559,True,5.0,Mid|5,375.0,315.636708,Left|9,Mid|5 -> Left|9,0.13404100000002472,Mid,Left
375,Left,315.636708,2333,315.4933095,217.8639999999632,0.8750466301003518,0.7103779315948486,0.6812556982040405,0.7103779315948486,0.6812556982040405,True,9.0,Left|9,376.0,315.77075,Mid|5,Left|9 -> Mid|5,0.1340420000000222,Left,Mid
389,Mid,318.619134,2422,318.6079535,217.8635000000213,0.6863011113173156,0.5172951647213527,0.4058819200311388,0.5207455158233643,0.4052309691905975,True,5.0,Mid|5,389.0,318.652644,Left|9,Mid|5 -> Left|9,0.033510000000035234,Mid,Left
389,Left,318.652644,2423,318.6079535,217.8635000000213,0.6863011113173156,0.6685172319412231,0.7446219325065613,0.6685172319412231,0.7446219325065613,True,9.0,Left|9,390.0,318.820196,Mid|5,Left|9 -> Mid|5,0.1675520000000006,Left,Mid
394,Mid,319.657956,2453,319.644823,153.3114999999725,0.8586099275196359,0.3676514983177185,0.3739470303058624,0.367759108543396,0.3769085109233856,True,5.0,Mid|5,394.0,319.724977,Left|8,Mid|5 -> Left|8,0.0670210000000111,Mid,Left
394,Left,319.724977,2455,319.644823,153.3114999999725,0.8586099275196359,0.6117171049118042,0.7133872509002686,0.6117171049118042,0.7133872509002686,True,8.0,Left|8,395.0,319.791998,Mid|5,Left|8 -> Mid|5,0.06702099999995426,Left,Mid
400,Mid,320.964862,2492,320.97217750000004,153.3114999999725,1.393482607892222,0.5319741467634836,0.3831208844979604,0.5362949967384338,0.3893204033374786,True,5.0,Mid|5,400.0,320.998372,Left|8,Mid|5 -> Left|8,0.033510000000035234,Mid,Left
400,Left,320.998372,2493,320.97217750000004,153.3114999999725,1.393482607892222,0.4872556626796722,0.7859236598014832,0.4872556626796722,0.7859236598014832,True,8.0,Left|8,401.0,321.132414,Mid|5,Left|8 -> Mid|5,0.13404199999996536,Left,Mid
406,Mid,322.003684,2523,322.017116,217.8639999999632,0.7362092712857866,0.41851259022951126,0.38661627471446985,0.4267578423023224,0.3909811377525329,True,5.0,Mid|5,407.0,322.238257,Left|8,Mid|5 -> Left|8,0.23457299999995485,Mid,Left
407,Left,322.238257,2530,322.2390145,217.86400000002004,0.5927228600714726,0.5617673993110657,0.7472665905952454,0.5617673993110657,0.7472665905952454,True,8.0,Left|8,407.0,322.238257,Mid|5,Left|8 -> Mid|5,0.0,Left,Mid
407,Mid,322.238257,2530,322.2390145,217.86400000002004,0.5927228600714726,0.4103047400712967,0.38182561099529266,0.4172728657722473,0.3741794526576996,True,5.0,Mid|5,406.0,322.238257,Left|8,Mid|5 -> Left|8,0.0,Mid,Left
406,Left,322.238257,2530,322.017116,217.8639999999632,0.7362092712857866,0.5656497478485107,0.7497045397758484,0.5656497478485107,0.7497045397758484,True,8.0,Left|8,408.0,322.47283,Mid|5,Left|8 -> Mid|5,0.2345730000000117,Left,Mid
412,Mid,323.109527,2556,323.10240050000004,217.86299999996567,1.1948506228975593,0.5486043436186654,0.38362328495298115,0.5502083897590637,0.3859970867633819,True,5.0,Mid|5,412.0,323.210059,Left|3,Mid|5 -> Left|3,0.10053199999998697,Mid,Left
412,Left,323.210059,2559,323.10240050000004,217.86299999996567,1.1948506228975593,0.7264207601547241,0.2060005813837051,0.7264207601547241,0.2060005813837051,True,3.0,Left|3,413.0,323.31059,Mid|5,Left|3 -> Mid|5,0.10053099999998949,Left,Mid
415,Mid,323.746225,2575,323.76002600000004,165.41449999999713,1.4950326338512003,0.5338346560796102,0.4027866174777348,0.535737931728363,0.4232595562934875,True,5.0,Mid|5,415.0,323.813246,Left|9,Mid|5 -> Left|9,0.0670210000000111,Mid,Left
415,Left,323.813246,2577,323.76002600000004,165.41449999999713,1.4950326338512003,0.7765113711357117,0.6942724585533142,0.5997194647789001,0.7650666236877441,True,9.0,Left|9,416.0,323.913777,Mid|5,Left|9 -> Mid|5,0.10053099999998949,Left,Mid
423,Mid,325.220683,2619,325.2245535,96.82850000001508,1.4880255870524588,0.5459758937358856,0.3786124065518379,0.5459572076797485,0.3770250976085663,True,5.0,Mid|5,423.0,325.321214,Left|9,Mid|5 -> Left|9,0.10053099999998949,Mid,Left
424,Left,325.321214,2622,325.3254165,149.27700000004052,1.4283949592678675,0.8468409776687622,0.6997507810592651,0.8468409776687622,0.6997507810592651,True,9.0,Left|9,424.0,325.321214,Mid|5,Left|9 -> Mid|5,0.0,Left,Mid
425,Mid,325.488766,2627,325.47872800000005,217.8639999999632,1.0398735985545031,0.5667790259633746,0.37935384682246615,0.560088038444519,0.4037490785121918,True,5.0,Mid|5,425.0,325.689828,Left|8,Mid|5 -> Left|8,0.20106199999997898,Mid,Left
425,Left,325.689828,2633,325.47872800000005,217.8639999999632,1.0398735985545031,0.5798778533935547,0.7279490828514099,0.5798778533935547,0.7279490828514099,True,8.0,Left|8,426.0,325.890891,Mid|5,Left|8 -> Mid|5,0.2010630000000333,Left,Mid
445,Mid,329.476503,2746,329.47693000000004,217.8634999999645,0.8297443221585148,0.47965808585286135,0.33447550609707827,0.4740058481693268,0.3382652103900909,True,5.0,Mid|5,445.0,329.543524,Left|3,Mid|5 -> Left|3,0.0670210000000111,Mid,Left
445,Left,329.543524,2748,329.47693000000004,217.8634999999645,0.8297443221585148,0.8511387705802917,0.151354968547821,0.8511387705802917,0.151354968547821,True,3.0,Left|3,446.0,329.711076,Mid|5,Left|3 -> Mid|5,0.1675520000000006,Left,Mid
449,Mid,330.347774,2772,330.3645225,217.8639999999632,0.9787188304549505,0.4917820990085602,0.405934989452362,0.4928244650363922,0.4058040082454681,True,5.0,Mid|5,449.0,330.481815,Left|9,Mid|5 -> Left|9,0.13404099999996788,Mid,Left
449,Left,330.481815,2776,330.3645225,217.8639999999632,0.9787188304549505,0.6747075915336609,0.7436891198158264,0.6747075915336609,0.7436891198158264,True,9.0,Left|9,450.0,330.582347,Mid|5,Left|9 -> Mid|5,0.10053200000004381,Left,Mid
454,Mid,331.487127,2806,331.474014,217.86299999996567,1.0009800563064164,0.4817644315106528,0.27042112605912344,0.4757852256298065,0.2769232094287872,True,2.0,Mid|2,454.0,331.654679,Left|7,Mid|2 -> Left|7,0.1675520000000006,Mid,Left
454,Left,331.654679,2811,331.474014,217.86299999996567,1.0009800563064164,0.2975260317325592,0.8530072569847107,0.2975260317325592,0.8530072569847107,True,7.0,Left|7,455.0,331.755211,Mid|2,Left|7 -> Mid|2,0.10053199999998697,Left,Mid
457,Mid,332.190846,2827,332.20426050000003,217.8634999999645,0.3942073901268245,0.3823892027139663,0.3153439462184906,0.3892605602741241,0.3203420042991638,True,2.0,Mid|2,457.0,332.291377,Left|6,Mid|2 -> Left|6,0.10053099999998949,Mid,Left
457,Left,332.291377,2830,332.20426050000003,217.8634999999645,0.3942073901268245,0.7369565963745117,0.6038256287574768,0.7369565963745117,0.6038256287574768,True,6.0,Left|6,458.0,332.458929,Mid|2,Left|6 -> Mid|2,0.1675520000000006,Left,Mid
458,Mid,332.458929,2835,332.45036600000003,169.44899999998597,1.4857962788038306,0.4382483661174774,0.31098035474618274,0.4389560222625732,0.3115787506103515,True,2.0,Mid|2,458.0,332.626481,Left|6,Mid|2 -> Left|6,0.1675520000000006,Mid,Left
459,Left,332.626481,2840,332.6238495,129.10450000003948,0.716442012669288,0.8270482420921326,0.6681216359138489,0.8270482420921326,0.6681216359138489,True,9.0,Left|9,459.0,332.626481,Mid|2,Left|9 -> Mid|2,0.0,Left,Mid
460,Mid,332.760523,2844,332.76505799999995,217.8630000000794,1.176871004105701,0.39216722548007965,0.308379340916872,0.3614194393157959,0.3189716935157776,True,2.0,Mid|2,460.0,332.995095,Left|3,Mid|2 -> Left|3,0.2345720000000142,Mid,Left
461,Left,332.995095,2851,332.9869555,217.8639999999632,0.7079659253987033,0.93375563621521,0.193026065826416,0.93375563621521,0.193026065826416,True,3.0,Left|3,461.0,332.995095,Mid|2,Left|3 -> Mid|2,0.0,Left,Mid
466,Mid,333.866366,2877,333.8503415,181.55300000000807,1.3951590918313923,0.541948159535726,0.32783685624599457,0.5505203604698181,0.3335220217704773,True,2.0,Mid|2,466.0,334.033918,Left|8,Mid|2 -> Left|8,0.1675520000000006,Mid,Left
467,Left,334.033918,2882,334.035929,217.8635000000213,0.8494416504391901,0.6251141428947449,0.7382559776306152,0.6251141428947449,0.7382559776306152,True,8.0,Left|8,467.0,334.033918,Mid|2,Left|8 -> Mid|2,0.0,Left,Mid
474,Mid,335.575396,2928,335.589216,185.5880000000525,0.9485622728585044,0.4838615826198033,0.33911481499671936,0.4741875827312469,0.3439347445964813,True,5.0,Mid|5,474.0,335.709438,Left|6,Mid|5 -> Left|6,0.13404199999996536,Mid,Left
474,Left,335.709438,2932,335.589216,185.5880000000525,0.9485622728585044,0.8465083241462708,0.6581422090530396,0.8465083241462708,0.6581422090530396,True,6.0,Left|6,475.0,335.776459,Mid|5,Left|6 -> Mid|5,0.0670210000000111,Left,Mid
490,Mid,338.658353,3020,338.6675495,217.86400000002004,0.4991615881785547,0.5947849750518799,0.3246744703501463,0.5800840854644775,0.3579410314559936,True,2.0,Mid|2,490.0,338.825905,Right|1,Mid|2 -> Right|1,0.1675520000000006,Mid,Right
490,Right,338.825905,3025,338.6675495,217.86400000002004,0.4991615881785547,0.2633821368217468,0.1499859094619751,0.2633821368217468,0.1499859094619751,True,1.0,Right|1,491.0,338.892926,Mid|2,Right|1 -> Mid|2,0.0670210000000111,Right,Mid
