fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
1280,Mid,4803.733883,7702,4803.7451545,217.86799999972573,1.2011363501885337,0.4432326480746269,0.45879347622394556,0.4396401643753052,0.4611984491348266,True,5,Mid|5,1281.0,4804.035482,Dashboard|7,Mid|5 -> Dashboard|7,0.3015990000003512,Mid,Dashboard
1281,Dashboard,4804.035482,7711,4804.031611,149.27949999946577,1.459108200606836,0.2999032199382782,0.6925135374069213,0.2986461818218231,0.6885971426963806,True,7,Dashboard|7,1281.0,4804.068993,Left|4,Dashboard|7 -> Left|4,0.033510999999634805,Dashboard,Left
1281,Left,4804.068993,7712,4804.031611,149.27949999946577,1.459108200606836,0.076065442059189,0.47503605484962463,0.1472410559654235,0.4392969012260437,True,4,Left|4,1282.0,4804.236548,Dashboard|5,Left|4 -> Dashboard|5,0.16755499999999302,Left,Dashboard
1283,Dashboard,4804.404103,7722,4804.4189320000005,80.69199999954435,1.497927979855605,0.3049939274787902,0.5376639515161514,0.3032409846782684,0.5370874404907227,True,4,Dashboard|4,1284.0,4804.538147,Mid|5,Dashboard|4 -> Mid|5,0.1340440000003582,Dashboard,Mid
1284,Mid,4804.538147,7726,4804.5359355,217.86799999972573,1.256234142110934,0.41303460938589914,0.4527220342840467,0.4164960980415344,0.4475528299808502,True,5,Mid|5,1284.0,4804.571658,Left|3,Mid|5 -> Left|3,0.033510999999634805,Mid,Left
1284,Left,4804.571658,7727,4804.5359355,217.86799999972573,1.256234142110934,0.7895795702934265,0.2687520384788513,0.7895795702934265,0.2687520384788513,True,3,Left|3,1285.0,4804.772724,Mid|5,Left|3 -> Mid|5,0.20106600000053731,Left,Mid
1288,Mid,4805.342411,7750,4805.358993,217.86900000006423,1.1738555954471894,0.29584043100476265,0.5088937729597092,0.2989455461502075,0.510598361492157,True,4,Mid|4,1289.0,4805.711032,Dashboard|7,Mid|4 -> Dashboard|7,0.36862100000053033,Mid,Dashboard
1291,Dashboard,4806.046143,7771,4806.0408405,104.8995000001014,0.712887881626603,0.2715720981359481,0.5481291264295578,0.2711867392063141,0.5492935180664062,True,4,Dashboard|4,1292.0,4806.213698,Mid|5,Dashboard|4 -> Mid|5,0.16755499999999302,Dashboard,Mid
1295,Mid,4806.816896,7794,4806.823552,217.86900000006423,1.0250653565170516,0.40537088736891747,0.43406945466995234,0.4042221903800964,0.433620423078537,True,5,Mid|5,1296.0,4807.152006,Dashboard|5,Mid|5 -> Dashboard|5,0.33510999999998603,Mid,Dashboard
1298,Dashboard,4807.487116,7814,4807.489261000001,173.4874999992826,0.9298701515673236,0.3222543199857076,0.5508928298950195,0.3207359611988067,0.5522437691688538,True,4,Dashboard|4,1299.0,4807.721693,Mid|5,Dashboard|4 -> Mid|5,0.23457700000017212,Dashboard,Mid
1301,Mid,4808.056803,7831,4808.042001,96.83050000057848,0.8126853723049113,0.38434581955273944,0.48706334829330444,0.3829725682735443,0.4867601692676544,True,5,Mid|5,1302.0,4808.190847,Dashboard|4,Mid|5 -> Dashboard|4,0.13404399999944872,Mid,Dashboard
1304,Dashboard,4808.559468,7846,4808.5543945,149.2805000007138,0.6226918650283815,0.2703940272331238,0.5382591009140014,0.268863707780838,0.5436826944351196,True,4,Dashboard|4,1305.0,4808.760534,Mid|5,Dashboard|4 -> Mid|5,0.20106599999962782,Dashboard,Mid
1309,Mid,4809.59831,7877,4809.587252,149.27999999963504,1.4451030592970775,0.357317590713501,0.4978663206100464,0.3598470091819763,0.4975775182247162,True,5,Mid|5,1310.0,4809.799376,Dashboard|7,Mid|5 -> Dashboard|7,0.20106599999962782,Mid,Dashboard
1311,Dashboard,4809.966931,7888,4809.9584350000005,189.6259999994072,1.1285865838587594,0.3043312033017476,0.5741350253423055,0.3039006888866424,0.5688101053237915,True,4,Dashboard|4,1312.0,4810.201508,Mid|5,Dashboard|4 -> Mid|5,0.23457700000017212,Dashboard,Mid
1324,Mid,4812.748345,7971,4812.7342385,217.86799999972573,1.4588646812769064,0.3768955937453678,0.478622772863933,0.3761551678180694,0.4757727980613708,True,5,Mid|5,1324.0,4812.882389,Left|6,Mid|5 -> Left|6,0.1340440000003582,Mid,Left
